Wavelength	LMW_13_a00000.asd
755	 0.150731297123757 
756	 0.150515791332157 
757	 0.150307076127392 
758	 0.150071502700023 
759	 0.149829107048673 
760	 0.149514451590407 
761	 0.149177405265971 
762	 0.149011992635128 
763	 0.148729724548414 
764	 0.148419172457116 
765	 0.148184432071365 
766	 0.14790180142458 
767	 0.147599189224096 
768	 0.147273590838625 
769	 0.146918895720462 
770	 0.14660484730224 
771	 0.146320007296079 
772	 0.146042017136898 
773	 0.145746268954835 
774	 0.145417225313928 
775	 0.145100119245613 
776	 0.144814118747202 
777	 0.144465387730561 
778	 0.144144076535633 
779	 0.143862206853419 
780	 0.143587962433185 
781	 0.143277121328367 
782	 0.142913919469057 
783	 0.142526581757642 
784	 0.142184609204781 
785	 0.141898354112932 
786	 0.141621803361355 
787	 0.141324859389763 
788	 0.141048737287977 
789	 0.140735012767201 
790	 0.140410800895696 
791	 0.140115587944513 
792	 0.139762247780775 
793	 0.139476764314337 
794	 0.139250117334065 
795	 0.138955829916439 
796	 0.138638001573498 
797	 0.138318881408453 
798	 0.138020185584906 
799	 0.137768007165939 
800	 0.137498830827774 
801	 0.137188381033685 
802	 0.136864801608468 
803	 0.136700464333296 
804	 0.136513499117594 
805	 0.136233293485976 
806	 0.135888358882418 
807	 0.135617204116588 
808	 0.135373132979471 
809	 0.13513606397114 
810	 0.134947101828571 
811	 0.134755250022594 
812	 0.134515185340531 
813	 0.13422437795837 
814	 0.133983522873896 
815	 0.133742230886598 
816	 0.13350380492726 
817	 0.133290175938755 
818	 0.133103156584552 
819	 0.132926562989203 
820	 0.132736163520473 
821	 0.132507873774182 
822	 0.132269910055892 
823	 0.132085570909406 
824	 0.131956594992538 
825	 0.131780575456305 
826	 0.131570150725776 
827	 0.131358232858784 
828	 0.131187370167774 
829	 0.131111885077817 
830	 0.130980034656399 
831	 0.13079307349635 
832	 0.130629551557321 
833	 0.130509138033909 
834	 0.130381141347901 
