Wavelength	MM_3500008.asd
983	 0.123019454962364 
984	 0.123345544771684 
985	 0.123674131099763 
986	 0.123925025506943 
987	 0.124080557683062 
988	 0.12450041070896 
989	 0.124766589958821 
990	 0.124970687450504 
991	 0.125376827009165 
992	 0.125672039581973 
993	 0.125810387640912 
994	 0.12600336164136 
995	 0.12642240590122 
996	 0.126611970489051 
997	 0.126902002756435 
998	 0.127172881766586 
999	 0.127308346021522 
1000	 0.127876728904794 
1001	 0.1273697396206 
1002	 0.12760291749579 
1003	 0.127831140230604 
1004	 0.128072059541874 
1005	 0.128343293900393 
1006	 0.128573136636165 
1007	 0.12878700623427 
1008	 0.12898757898086 
1009	 0.129206361209873 
1010	 0.129404167848712 
1011	 0.129631204194378 
1012	 0.129886453608294 
1013	 0.130116839876949 
1014	 0.130341540484147 
1015	 0.130555753210763 
1016	 0.13075299092954 
1017	 0.130958980290153 
1018	 0.131167673952194 
1019	 0.131358713341778 
1020	 0.131516835953117 
1021	 0.131674615788294 
1022	 0.13185028432862 
1023	 0.132060648840986 
1024	 0.132299660932941 
1025	 0.132493155166732 
1026	 0.132650739227188 
1027	 0.132789117920454 
1028	 0.132908606600727 
1029	 0.133061754966541 
1030	 0.13321387306827 
1031	 0.13335346470009 
1032	 0.133465038169324 
1033	 0.133583074714659 
1034	 0.13373455451486 
1035	 0.133854515302236 
1036	 0.133937241588446 
1037	 0.134063183158194 
1038	 0.134207468885614 
1039	 0.134399464678096 
1040	 0.134608397567929 
1041	 0.134768392566424 
1042	 0.134917431305766 
1043	 0.135019334143832 
1044	 0.135134359613773 
1045	 0.135257227302013 
1046	 0.135400243603124 
1047	 0.135456057465676 
1048	 0.135517272875 
1049	 0.135623384642524 
1050	 0.135711150928724 
1051	 0.135856921120023 
1052	 0.136053482899776 
1053	 0.136165488273814 
1054	 0.136226446098278 
1055	 0.13631884347566 
1056	 0.136399929268276 
1057	 0.136504867655573 
1058	 0.136675781707527 
1059	 0.136806557229217 
1060	 0.136922646776792 
1061	 0.13701946829845 
1062	 0.13714490977277 
1063	 0.137287260181464 
1064	 0.137409820816047 
1065	 0.137493907450937 
1066	 0.137572375865852 
1067	 0.137669306144067 
1068	 0.137785531752486 
1069	 0.137931112285757 
1070	 0.138059297678423 
1071	 0.138183931640902 
1072	 0.138278760402943 
1073	 0.138345231038264 
1074	 0.138452481117252 
1075	 0.138543032550724 
1076	 0.138704168719062 
1077	 0.138883164270663 
1078	 0.13898713523687 
1079	 0.139086427339196 
1080	 0.139153380886029 
1081	 0.139182773410358 
1082	 0.13924347217184 
1083	 0.13929087336612 
1084	 0.139309984695371 
1085	 0.139372801036736 
1086	 0.139448277488364 
1087	 0.139531496971002 
1088	 0.139637878459784 
1089	 0.13975992376593 
1090	 0.139865412061174 
1091	 0.139930330132925 
1092	 0.140002406564614 
1093	 0.140108677898497 
1094	 0.140210032722935 
1095	 0.140346037733191 
1096	 0.140459096358489 
1097	 0.140488480197454 
1098	 0.140533777853736 
1099	 0.140523417292173 
1100	 0.14056201960235 
1101	 0.140624856897486 
1102	 0.140700443109956 
1103	 0.140801948249594 
1104	 0.140875608752456 
1105	 0.140975892295468 
1106	 0.141052173722541 
1107	 0.141110026995703 
1108	 0.141209455679748 
1109	 0.141284166106802 
1110	 0.141325602725458 
1111	 0.141387840464914 
1112	 0.141447461752643 
