Wavelength	lmw-9-200003.asd
1084	 0.278201465981099 
1085	 0.279241695631003 
1086	 0.280355710527578 
1087	 0.281380892664676 
1088	 0.282339853289699 
1089	 0.28338392431778 
1090	 0.284417611542128 
1091	 0.28541708089718 
1092	 0.286450716545901 
1093	 0.287464704465968 
1094	 0.288455903896748 
1095	 0.289448253434421 
1096	 0.290453963068711 
1097	 0.291439468931727 
1098	 0.29244992706436 
1099	 0.293492597005769 
1100	 0.294485313357426 
1101	 0.295457690971315 
1102	 0.296448899982048 
1103	 0.297429064110966 
1104	 0.298362129976085 
1105	 0.299374028661259 
1106	 0.300430462036206 
1107	 0.301460239246126 
1108	 0.302469891834654 
1109	 0.303430044492092 
1110	 0.304389163326102 
1111	 0.305363370165263 
1112	 0.306330186851437 
1113	 0.307294083161279 
1114	 0.308272555189623 
1115	 0.309240816373414 
1116	 0.310177092479841 
1117	 0.311147555067653 
1118	 0.312124289711335 
1119	 0.313130227625106 
1120	 0.314182871155485 
1121	 0.315209063794969 
1122	 0.316199370129594 
1123	 0.317190410217057 
1124	 0.318168566979994 
1125	 0.31909816320268 
1126	 0.320068165617234 
1127	 0.321071510083814 
1128	 0.322034389153781 
1129	 0.322969250972931 
1130	 0.323924639877621 
1131	 0.324875352976287 
1132	 0.325830624938823 
1133	 0.326796614828189 
1134	 0.327765400118765 
1135	 0.328743249958145 
1136	 0.329707235753993 
1137	 0.33066120236199 
1138	 0.331580184067484 
1139	 0.332479501334576 
1140	 0.333345543260838 
1141	 0.334200390636786 
1142	 0.33503943877758 
1143	 0.335867708884974 
1144	 0.336672151890241 
1145	 0.337468214077774 
1146	 0.338267892864712 
1147	 0.339034451469904 
1148	 0.339748600240163 
1149	 0.340498645513231 
1150	 0.341235570497036 
1151	 0.342004123730527 
1152	 0.342758534886224 
1153	 0.343530868293877 
1154	 0.344332932907569 
1155	 0.345117334466628 
1156	 0.345970243628445 
1157	 0.346886752210343 
1158	 0.347802057915952 
1159	 0.348755834897195 
1160	 0.349701499094764 
1161	 0.350651260995358 
1162	 0.351617547377509 
1163	 0.352615825635561 
1164	 0.353583640003117 
1165	 0.354559965668667 
1166	 0.3555249362758 
1167	 0.356448084909476 
1168	 0.357377082440449 
1169	 0.358286373603996 
1170	 0.359187113437406 
1171	 0.360074673469033 
1172	 0.36095284521027 
1173	 0.361807174364783 
