Wavelength	mm23-200000.asd
1155	 0.535244454012282 
1156	 0.535396840728814 
1157	 0.535516521974048 
1158	 0.535673121430304 
1159	 0.535855668888585 
1160	 0.536023703930215 
1161	 0.536201310962483 
1162	 0.536369571181469 
1163	 0.536516766122317 
1164	 0.536686102481657 
1165	 0.536846249109646 
1166	 0.537041254255711 
1167	 0.537272583736908 
1168	 0.537491600329918 
1169	 0.537717953250917 
1170	 0.537969487859897 
1171	 0.538192794206756 
1172	 0.538410848848554 
1173	 0.538616067069861 
1174	 0.538778752619509 
1175	 0.539000620724835 
1176	 0.539236746018131 
1177	 0.539480725172651 
1178	 0.53976992662654 
1179	 0.540047799172405 
1180	 0.540315964392583 
1181	 0.540590185306735 
1182	 0.540880626445323 
1183	 0.541167801032272 
1184	 0.541440913735151 
1185	 0.541701552489515 
1186	 0.541978355352786 
1187	 0.542254211197802 
1188	 0.542529097939079 
1189	 0.542833150200126 
1190	 0.543087258323934 
1191	 0.543305173380982 
1192	 0.543541277190885 
1193	 0.543754400337898 
1194	 0.543982804800599 
1195	 0.544237211285104 
1196	 0.544471147738157 
1197	 0.544694464062015 
1198	 0.544917359808059 
1199	 0.545136071125313 
1200	 0.545344674073513 
1201	 0.54556346848221 
1202	 0.545780891859922 
1203	 0.546007930676436 
1204	 0.546244551010185 
1205	 0.546474347773952 
1206	 0.546709998137498 
1207	 0.546938690635227 
1208	 0.547181975724768 
1209	 0.547385938831635 
1210	 0.547569542932321 
1211	 0.547747661221784 
1212	 0.54788633516473 
1213	 0.548041257899873 
1214	 0.548194259196798 
1215	 0.548359424130487 
1216	 0.548531121476921 
1217	 0.54870870138295 
1218	 0.548885986966517 
1219	 0.549071060297104 
1220	 0.549259459057428 
1221	 0.54946444607161 
1222	 0.549633599185187 
1223	 0.549794594750002 
1224	 0.549951019721464 
1225	 0.550068987445725 
1226	 0.550213379938942 
1227	 0.55038232303539 
1228	 0.550534210582013 
1229	 0.550680386570413 
1230	 0.550827577819011 
1231	 0.550967987686017 
1232	 0.55110958403443 
1233	 0.551251847974114 
1234	 0.551391865417753 
1235	 0.551547007608199 
1236	 0.551717671559679 
1237	 0.551861701993846 
1238	 0.552008174541499 
1239	 0.552144684119337 
1240	 0.552248996690312 
1241	 0.552379195048599 
1242	 0.552535368014582 
1243	 0.552663769242951 
1244	 0.55277931948711 
1245	 0.552901431141325 
1246	 0.552991879217023 
1247	 0.553119993922261 
1248	 0.553283601118556 
1249	 0.553440774499011 
1250	 0.553591767047892 
1251	 0.553743300064257 
1252	 0.553862753128503 
1253	 0.553947277610482 
1254	 0.55404530950767 
1255	 0.554130888986983 
1256	 0.554222539225838 
1257	 0.554320628845348 
1258	 0.554403135455124 
1259	 0.554466933741828 
1260	 0.554553219054761 
1261	 0.554641809210732 
1262	 0.554728971129615 
1263	 0.554851795417533 
1264	 0.554937638093128 
1265	 0.554988804581741 
1266	 0.555052305189796 
1267	 0.555114588347093 
1268	 0.555153627242645 
1269	 0.555208930632221 
1270	 0.555270317482069 
1271	 0.555335126770108 
1272	 0.55540126387049 
1273	 0.555468671006082 
1274	 0.555538188773832 
1275	 0.555618495434641 
1276	 0.555691402579717 
1277	 0.555790756534536 
1278	 0.555918247902405 
1279	 0.556036271628197 
1280	 0.5561628775265 
1281	 0.556292529778647 
1282	 0.556426607566407 
1283	 0.556557298711025 
1284	 0.556700950166972 
1285	 0.556827268828735 
1286	 0.556953115062288 
1287	 0.55706352359119 
1288	 0.557176582163978 
1289	 0.557281242333069 
1290	 0.557404936860052 
1291	 0.557533095228578 
1292	 0.55766512899922 
1293	 0.557826609732221 
1294	 0.557937913771869 
1295	 0.558030766768295 
1296	 0.558113454949843 
1297	 0.558166717418102 
1298	 0.558223936214091 
1299	 0.558282423057815 
1300	 0.558321733878192 
1301	 0.558333684368751 
1302	 0.558358236932699 
1303	 0.558375220562576 
1304	 0.558401178180504 
1305	 0.558431981171411 
1306	 0.558451252406744 
1307	 0.558444548344882 
1308	 0.558421141676674 
1309	 0.558389090191401 
1310	 0.558345612266751 
1311	 0.558275232098008 
1312	 0.558194480759622 
1313	 0.558088617554796 
1314	 0.55794346086414 
1315	 0.557807627371734 
1316	 0.557658694661709 
1317	 0.557513525526099 
1318	 0.557374324534739 
1319	 0.557215424225269 
1320	 0.557072621998847 
1321	 0.556881938311444 
1322	 0.556664704603662 
1323	 0.556416287766978 
1324	 0.556153594724655 
1325	 0.555866492533403 
1326	 0.555565582097799 
1327	 0.55527446305182 
1328	 0.554986533763218 
1329	 0.554688998721115 
1330	 0.554366692724514 
1331	 0.5540343842875 
1332	 0.553696559610549 
1333	 0.553342091028771 
1334	 0.552970017191751 
1335	 0.552591277878947 
1336	 0.552213883430078 
1337	 0.551804377995467 
1338	 0.551414530598304 
1339	 0.551060731848547 
1340	 0.55066319944093 
1341	 0.550238579329825 
1342	 0.549826465360888 
1343	 0.549390435555555 
1344	 0.548966785703087 
1345	 0.548580624469927 
1346	 0.548206672476559 
1347	 0.547859919289072 
1348	 0.547515474032237 
1349	 0.54713211599552 
1350	 0.546733808620333 
1351	 0.546366058556776 
1352	 0.545988098529818 
1353	 0.54562692040143 
1354	 0.545300707958007 
1355	 0.544962353436963 
1356	 0.544617363406261 
1357	 0.544269256437472 
1358	 0.543911548129873 
1359	 0.543582246513982 
1360	 0.543259060739973 
1361	 0.54293830333883 
1362	 0.542656654444448 
1363	 0.54235084625132 
1364	 0.542009731871789 
1365	 0.54169911129203 
1366	 0.541408121184613 
1367	 0.541110254346817 
1368	 0.540814692649523 
1369	 0.540526453454883 
1370	 0.540185795392675 
1371	 0.539807302791116 
1372	 0.539394531106215 
1373	 0.538939764968448 
1374	 0.538456273876774 
1375	 0.537954427262178 
1376	 0.537369661733972 
1377	 0.53675421086583 
1378	 0.536046041198576 
1379	 0.535245039891236 
1380	 0.534418394133501 
1381	 0.53351853249658 
1382	 0.532593452780135 
1383	 0.531660044961981 
1384	 0.530636620421823 
1385	 0.529612368373654 
1386	 0.528446976473725 
1387	 0.527187467770618 
1388	 0.5258302094582 
1389	 0.52437876117414 
1390	 0.522801300604328 
1391	 0.521143850882115 
1392	 0.519398398592194 
1393	 0.517518261520542 
1394	 0.515526439891862 
1395	 0.513402026402333 
1396	 0.511191947515507 
1397	 0.508912362562801 
1398	 0.50655567077229 
1399	 0.504071940312103 
1400	 0.501502354903259 
1401	 0.49883006706252 
1402	 0.496015476644339 
1403	 0.493181594135977 
1404	 0.490234765238258 
1405	 0.487340680428948 
1406	 0.484411544977016 
1407	 0.481473299679128 
1408	 0.478504273985996 
1409	 0.475600645772272 
1410	 0.472655512899171 
1411	 0.469830387985421 
1412	 0.467061215064396 
1413	 0.46440693720687 
1414	 0.461886706597717 
1415	 0.459400146360093 
1416	 0.457019397502961 
1417	 0.454719379411388 
1418	 0.452435832056636 
1419	 0.45024519233362 
1420	 0.448149830171576 
1421	 0.446152855789227 
1422	 0.444230371124908 
1423	 0.442327003847877 
1424	 0.440459340648086 
1425	 0.438620880289089 
1426	 0.436848824960363 
1427	 0.435109751468454 
1428	 0.433447497788345 
