Wavelength	LMW_13_a00001.asd
566	 0.112389715390805 
567	 0.112845349474735 
568	 0.113256909289382 
569	 0.113571348062084 
570	 0.113798316765351 
571	 0.114025561527674 
572	 0.114317242198803 
573	 0.11469269582147 
574	 0.115126238358111 
575	 0.115491191215333 
576	 0.115883210448529 
577	 0.116357675554898 
578	 0.116792067487395 
579	 0.117324142861481 
580	 0.117903666104484 
581	 0.118420309183709 
582	 0.118982434400325 
583	 0.119418710058235 
584	 0.119717644068839 
585	 0.120125225218047 
586	 0.120508217481649 
587	 0.120932719286529 
588	 0.121489591256891 
589	 0.122161054227859 
590	 0.12276630442206 
591	 0.123255858286686 
592	 0.123712276232532 
593	 0.124198782906669 
594	 0.124756982496577 
595	 0.125401766560123 
596	 0.126124919665425 
597	 0.126788698538791 
598	 0.127344394744529 
599	 0.127810201780553 
600	 0.128267481567841 
601	 0.128649708333192 
602	 0.128973579683566 
603	 0.129443369886774 
604	 0.129923602731964 
605	 0.130406151046555 
606	 0.130912087795563 
607	 0.131378396876308 
608	 0.131879888832979 
609	 0.132406539898486 
610	 0.132846103780181 
611	 0.13313989415559 
612	 0.133432041380891 
613	 0.133826379579162 
614	 0.134112078936254 
615	 0.134405212136087 
616	 0.134717652336678 
617	 0.134991261303662 
618	 0.135293664384342 
619	 0.135555942076423 
620	 0.135756909066797 
621	 0.136018574613021 
622	 0.136288987936089 
623	 0.136559286743289 
624	 0.136824835998439 
625	 0.137014303644572 
626	 0.137174184024127 
627	 0.137366762441834 
628	 0.137662451127241 
629	 0.137859454053944 
630	 0.137997179841823 
631	 0.138170276743567 
632	 0.138395554053843 
633	 0.138652934917685 
634	 0.138860064086561 
635	 0.138910567713429 
636	 0.139122479915575 
637	 0.139378340539162 
638	 0.139553144669377 
639	 0.139694865405058 
640	 0.139860669364911 
641	 0.140052462267506 
642	 0.140242834593865 
643	 0.140425967891918 
644	 0.140606574667414 
645	 0.140787744820767 
646	 0.140967547041797 
647	 0.141158247193185 
648	 0.141327024409448 
649	 0.141454494529285 
650	 0.141626521709216 
651	 0.141840178618384 
652	 0.142064962983045 
653	 0.142252892419452 
654	 0.142444842837629 
655	 0.142609272082562 
656	 0.142736204256663 
657	 0.142895084190597 
658	 0.143090242044601 
659	 0.143306213755143 
660	 0.143515187091123 
661	 0.143709301836057 
662	 0.143858434356453 
663	 0.1439955400457 
664	 0.144245305560516 
665	 0.144531370730592 
666	 0.144723678043845 
667	 0.144772811460397 
668	 0.145008593376223 
669	 0.145282105271758 
670	 0.145511999774989 
671	 0.145687086798837 
672	 0.145798144396452 
673	 0.146021737495841 
674	 0.146388792433709 
675	 0.146510125883947 
676	 0.146655783329803 
677	 0.146866095992968 
678	 0.147087608474685 
679	 0.14733489062493 
680	 0.147558394397042 
681	 0.147741711357852 
682	 0.147916667040812 
683	 0.148130728001889 
684	 0.148380851739796 
685	 0.14863521129695 
686	 0.148815858084395 
687	 0.149031258925748 
688	 0.149279004788019 
689	 0.149481073277644 
690	 0.149682850091104 
691	 0.149933820670092 
692	 0.150227362232641 
693	 0.150447355336762 
694	 0.150626466460926 
695	 0.15084546719241 
696	 0.151157662453519 
697	 0.151352653106644 
698	 0.151540612881162 
699	 0.151776682195856 
700	 0.152035216456851 
701	 0.152226908614933 
702	 0.15242069009459 
703	 0.152666798128473 
704	 0.152855604715966 
705	 0.15308926498646 
706	 0.153336584435808 
707	 0.153513536806798 
708	 0.153724834092493 
709	 0.153936608958353 
710	 0.154137838229038 
711	 0.154373265909982 
712	 0.154581532644991 
713	 0.154760529596456 
714	 0.154921097362389 
715	 0.15503640079942 
716	 0.155246547149681 
717	 0.155503689469281 
718	 0.155636135264523 
719	 0.155773514221563 
720	 0.155902666516379 
721	 0.156014216186217 
722	 0.156144207276804 
723	 0.156285176664957 
724	 0.156429804930356 
725	 0.15656151928028 
726	 0.156621645969221 
727	 0.15670748800017 
728	 0.15681105502421 
729	 0.156827725605845 
730	 0.156852566188114 
731	 0.156947709210208 
732	 0.157085377893205 
733	 0.157030967431356 
734	 0.157042342999889 
735	 0.157068491293837 
736	 0.15697517962449 
737	 0.156954616981238 
738	 0.156956575177065 
739	 0.15693232567073 
740	 0.156857171588271 
741	 0.156787521558663 
742	 0.156713225267181 
743	 0.156611082969241 
744	 0.156460136888142 
745	 0.156310975777217 
746	 0.156177474545567 
747	 0.15604539489125 
748	 0.155847878673129 
749	 0.155657073585357 
750	 0.155503997906956 
751	 0.155354267647579 
752	 0.155156422549525 
753	 0.154952732148647 
754	 0.154768156380646 
755	 0.154497936668255 
756	 0.154278056432166 
757	 0.154076842880479 
758	 0.15379625158443 
759	 0.153555032487865 
760	 0.153243005667889 
761	 0.152883611455882 
762	 0.152684879534896 
763	 0.152408434490241 
764	 0.152103545913304 
765	 0.151840617183912 
766	 0.151545753723405 
767	 0.151230093275732 
768	 0.150886190025839 
769	 0.150513924228081 
770	 0.15022015833445 
771	 0.14994337412758 
772	 0.149639066377612 
773	 0.149304270550262 
774	 0.14895981480635 
775	 0.148628846705754 
776	 0.148320218970238 
777	 0.148009759304877 
778	 0.147678862855771 
779	 0.147361795995833 
780	 0.147093058254882 
781	 0.146745939744313 
782	 0.146373370448079 
783	 0.146014211317563 
784	 0.145677554730692 
785	 0.145402731759849 
786	 0.145100815822048 
787	 0.144736309920074 
788	 0.14446375443559 
789	 0.144161233961147 
790	 0.143824122764739 
791	 0.143487179889266 
792	 0.143137966719723 
793	 0.142849758384611 
794	 0.142615756682781 
795	 0.142355797717468 
796	 0.142013919586386 
797	 0.14164936717909 
798	 0.141327211907596 
799	 0.141088524900272 
800	 0.140799205019128 
801	 0.140471361757233 
802	 0.140172858236329 
803	 0.139993807695071 
804	 0.139770253279512 
805	 0.139473836183403 
806	 0.139171964658189 
807	 0.13889707474895 
808	 0.138604635829054 
809	 0.13831855697938 
810	 0.138156275099175 
811	 0.137986722710543 
812	 0.137740477062176 
813	 0.137415125157032 
814	 0.137128588543013 
815	 0.136915362356228 
816	 0.136729985630776 
817	 0.136508376287617 
818	 0.136311848438465 
819	 0.136122420323602 
820	 0.135917727827555 
821	 0.135680374089098 
822	 0.13544246772555 
823	 0.13524179041243 
824	 0.135090437840628 
825	 0.134962182896123 
826	 0.134729391406801 
827	 0.134472983321955 
828	 0.13430004561135 
829	 0.134206505643966 
830	 0.134036630736922 
831	 0.133830457848695 
832	 0.133707399596926 
833	 0.133608551172876 
834	 0.133462709974354 
835	 0.133288155181303 
836	 0.133178659122044 
837	 0.133043763163347 
838	 0.13291601389996 
839	 0.132804552349199 
840	 0.132645199401749 
841	 0.132510190713473 
842	 0.132398819620903 
843	 0.132295880529037 
844	 0.132211683733375 
845	 0.132132720026702 
846	 0.132023923728833 
847	 0.131869456033655 
848	 0.131805705162589 
849	 0.131746436344439 
850	 0.13165512735167 
851	 0.131555618894455 
852	 0.131500517050357 
853	 0.131457380886827 
854	 0.131415212519458 
855	 0.131411935427109 
856	 0.131388273850827 
857	 0.131368205664363 
858	 0.131352747041705 
859	 0.131222384270894 
860	 0.131153631056086 
861	 0.131150512342819 
862	 0.131152022224073 
863	 0.13112419436376 
864	 0.131102477119736 
865	 0.131107482620762 
866	 0.13113580906115 
867	 0.131100814581399 
868	 0.1311070610861 
869	 0.131158707346972 
870	 0.131149222756523 
871	 0.131139035109291 
872	 0.131198249985161 
873	 0.131304428777868 
874	 0.131291451945878 
875	 0.13129867779252 
876	 0.131290035365767 
877	 0.131246002616779 
878	 0.131295955087394 
879	 0.131438401474339 
880	 0.131582175177464 
881	 0.131645035225462 
882	 0.131732618876985 
883	 0.13182257278487 
884	 0.131889191525114 
885	 0.131928493846667 
886	 0.132064531515691 
887	 0.132229246063197 
888	 0.132358196714111 
889	 0.132421653101799 
890	 0.132542837263688 
891	 0.132667704002627 
892	 0.132762779826252 
893	 0.132851521726982 
894	 0.132952230311893 
895	 0.133079823472955 
896	 0.133244128732497 
897	 0.133450246745201 
898	 0.133620605766586 
899	 0.133766353409796 
900	 0.133925883125004 
901	 0.134145551883879 
902	 0.134268972863647 
903	 0.134376665311831 
904	 0.134579326696028 
905	 0.13476085903951 
906	 0.134992774024025 
907	 0.135221803233801 
908	 0.135379630850924 
909	 0.135645636908242 
910	 0.135855261802051 
911	 0.136027731582232 
912	 0.136288552647214 
913	 0.136522798835843 
914	 0.136732163305413 
915	 0.136946103771681 
916	 0.137207015544926 
917	 0.137534775519096 
918	 0.137769992514799 
919	 0.137925205945559 
920	 0.13821585479722 
921	 0.138517296599879 
922	 0.138791971739706 
923	 0.139050088259652 
924	 0.139347844112199 
925	 0.139578706130411 
926	 0.139822348819692 
